Year,Full-time London,Full-time UK,Part-time London,Part-time UK,Notes,Notes.1
1997,15.07220217,17.38095238,-9.090909091,0.627615063,Notes about data,undefined
1998,15.03889369,17.39130435,-14.50980392,-4.042553191,null,undefined
1999,14.66666667,16.4277839,-16.27906977,-2.615694165,null,undefined
2000,16.03475513,16.25668449,-10.09174312,-3.543307087,null,undefined
2001,14.46776612,16.36178862,-13.45454545,-3.773584906,null,undefined
2002,14.47931526,15.49707602,-8.666666667,-0.528169014,null,undefined
2003,14.81481481,14.5557656,-11.69230769,-1.333333333,null,undefined
2004,14.55273698,14.50729927,-11.88405797,-2.597402597,null,undefined
2005,14.45086705,13.02037201,-16.84931507,-3.062787136,null,undefined
2006,13.27827192,12.88659794,-14.52442159,-2.186588921,null,undefined
2007,13.39449541,12.44778613,-13.60799001,-2.247191011,null,undefined
2008,13.73820755,12.64,-9.541062802,-3.586206897,null,undefined
2009,13.12036509,12.18195837,-9.750566893,-2.610966057,null,undefined
2010,12.47203579,10.07692308,-8.807134894,-4.302477184,null,undefined
2011,14.16026345,10.44207317,-10.19473081,-5.104712042,null,undefined
2012,12.12121212,9.495101733,-12.91810842,-5.440414508,null,undefined
2013,12.91553134,10,-11.5470852,-5.815423515,null,undefined
2014,12.23491028,9.625275533,-15.47344111,-5.5,null,undefined
2015,11.8616145,9.675090253,-8.232711306,-6.741573034,null,undefined
2016,12.93929712,9.463276836,-9.787234043,-6.146572104,null,undefined
2017,14.59816887,9.116022099,-7.857142857,-5.136986301,2017 data is provisional,undefined